Country Name,Year,Log of GDP per capita,Life Expectancy at 0 Log,Life Expectancy at 40 Log,Life Expectancy at 60 Log,Life Expectancy at 65 Log,Life Expectancy at 80 Log
Austria,2000,10.888395123205804,4.358333522438447,3.680090948080857,3.086486636822455,2.8791984572980396,2.060513531794317
Austria,2001,10.897651036478333,4.364061342882602,3.6888794541139363,3.1023420086122493,2.8986705607108596,2.0731719286662402
Austria,2002,10.907465832178252,4.3653641937725745,3.6901286735143684,3.095577608523707,2.89314568477889,2.060513531794317
Austria,2003,10.913945476525706,4.364775019108658,3.6901286735143684,3.093312601892855,2.8931456847788897,2.0412203288596382
Austria,2004,10.933070390298267,4.371729902305636,3.7013019741124933,3.1157350659486873,2.917770732084279,2.0794415416798357
Austria,2005,10.949196259069188,4.373637888826933,3.7062280924485496,3.122364924487357,2.9258461460898246,2.0918640616783932
Austria,2006,10.976418584274398,4.380531615188959,3.717223927123079,3.1376657694426577,2.9444389791664403,2.128231705849268
Austria,2007,11.010234191323775,4.384280191007279,3.7220724214697003,3.1484533605716547,2.9575110607337933,2.157559320943788
Austria,2008,11.021532240170444,4.38740846809339,3.7293013686128518,3.1548704948922883,2.9652730660692823,2.163323025660538
Austria,2009,10.982391195321666,4.386164403787822,3.7268975213014572,3.152736022363656,2.9652730660692823,2.174751721484161
Austria,2010,10.997915404982797,4.389256533356196,3.7328963395307104,3.1633631149379418,2.9780773383152703,2.191653532286764
Austria,2011,11.023398955557836,4.394238352578696,3.7400477406883357,3.175968323856924,2.990719731730447,2.2192034840549946
Austria,2012,11.025102390344033,4.39366595138213,3.7376696182833684,3.1654750481410856,2.980618635743943,2.1972245773362196
Austria,2013,11.016698103832976,4.39613397370323,3.7412346844478646,3.173878458937465,2.9882040071331994,2.2027647577118348
Austria,2014,11.016412259815556,4.4004833063329265,3.750679855019383,3.188416617383492,3.0032042883926917,2.2353763433005955
Austria,2015,11.018153338174931,4.396795090934383,3.742420221041966,3.1717842173343502,2.980618635743943,2.1972245773362196
Austria,2016,11.028290555145245,4.402337262940226,3.754198920234579,3.188416617383492,3.0007198150650303,2.2353763433005955
Austria,2017,11.043812534454581,4.40236713738718,3.750679855019383,3.184284380098582,2.995732273553991,2.2082744135228043
Austria,2018,11.063480473172968,4.402964437634883,3.751854253275325,3.186352633162641,2.998229153752578,2.2192034840549946
Austria,2019,11.076431282601133,4.405439428035133,3.7577056450437887,3.1945831322991562,3.005682604407159,2.2300144001592104
Austria,2020,11.007012672627699,4.396825131407822,3.7412346844478646,3.1612467120315646,2.9678470700644555,2.163323025660538
Belgium,2000,10.828388979540192,4.353137729958377,3.6737658163038884,3.077312260546414,2.8707357833793057,2.0476928433652555
Belgium,2001,10.83588548712621,4.356364802520063,3.680090948080857,3.08876713952118,2.884800712846709,2.0605135317943173
